PLAYER,TEAM,GP,W,L,MIN,REB,ContestedRebs,ContestedRebs%,"REB
CHANCES","REB
CHANCE%",DeferredRebChances,AdjRebChance%,"AVG REB
DISTANCE"

Victor Wembanyama,SAS,1,1,0,30.8,15.0,4.0,26.7,17.0,88.2,0.0,88.2,3.5
Desmond Bane,MEM,1,0,1,39.7,13.0,6.0,46.2,19.0,68.4,1.0,72.2,9.4
Jonas Valanciunas,NOP,1,1,0,37.1,13.0,7.0,53.8,22.0,59.1,0.0,59.1,4.0
Jabari Smith Jr.,HOU,1,1,0,30.4,12.0,4.0,33.3,20.0,60.0,1.0,63.2,5.2
Jusuf Nurkic,PHX,1,0,1,29.7,12.0,6.0,50.0,16.0,75.0,0.0,75.0,2.8
Goga Bitadze,ORL,1,0,1,26.7,11.0,5.0,45.5,16.0,68.8,1.0,73.3,2.3
Zion Williamson,NOP,1,1,0,30.4,11.0,4.0,36.4,14.0,78.6,0.0,78.6,10.3
Daniel Gafford,WAS,1,1,0,28.4,10.0,4.0,40.0,18.0,55.6,1.0,58.8,6.6
Tyus Jones,WAS,1,1,0,28.9,10.0,0.0,0.0,13.0,76.9,1.0,83.3,13.7
Anthony Black,ORL,1,0,1,28.4,9.0,6.0,66.7,12.0,75.0,1.0,81.8,6.2
Bismack Biyombo,MEM,1,0,1,33.4,9.0,4.0,44.4,20.0,45.0,3.0,52.9,4.4
Christian Wood,LAL,1,0,1,30.4,8.0,2.0,25.0,13.0,61.5,0.0,61.5,11.2
Jakob Poeltl,TOR,1,0,1,25.3,8.0,5.0,62.5,16.0,50.0,1.0,53.3,2.6
Jeremy Sochan,SAS,1,1,0,27.0,8.0,0.0,0.0,15.0,53.3,0.0,53.3,14.1
Jose Alvarado,NOP,1,1,0,21.2,8.0,3.0,37.5,13.0,61.5,1.0,66.7,9.7
Tari Eason,HOU,1,1,0,22.8,8.0,2.0,25.0,10.0,80.0,0.0,80.0,5.5
Vince Williams Jr.,MEM,1,0,1,30.3,8.0,1.0,12.5,17.0,47.1,3.0,57.1,4.2
Alperen Sengun,HOU,1,1,0,31.9,7.0,3.0,42.9,18.0,38.9,3.0,46.7,4.1
Austin Reaves,LAL,1,0,1,34.1,7.0,0.0,0.0,10.0,70.0,1.0,77.8,13.1
Dillon Brooks,HOU,1,1,0,40.5,7.0,2.0,28.6,11.0,63.6,0.0,63.6,7.7
Jaxson Hayes,LAL,1,0,1,19.8,7.0,5.0,71.4,10.0,70.0,0.0,70.0,2.3
LeBron James,LAL,1,0,1,35.9,7.0,1.0,14.3,11.0,63.6,0.0,63.6,7.2
Sam Hauser,BOS,1,1,0,31.5,7.0,0.0,0.0,11.0,63.6,1.0,70.0,8.1
Deni Avdija,WAS,1,1,0,24.7,6.0,2.0,33.3,16.0,37.5,3.0,46.2,2.6
Devin Vassell,SAS,1,1,0,35.2,6.0,2.0,33.3,12.0,50.0,0.0,50.0,7.6
Fred VanVleet,HOU,1,1,0,35.9,6.0,1.0,16.7,14.0,42.9,0.0,42.9,9.2
Jayson Tatum,BOS,1,1,0,38.8,6.0,3.0,50.0,11.0,54.5,0.0,54.5,6.6
Trey Murphy III,NOP,1,1,0,25.2,6.0,1.0,16.7,7.0,85.7,0.0,85.7,8.0
Zach Collins,SAS,1,1,0,18.8,6.0,1.0,16.7,9.0,66.7,0.0,66.7,6.6
Bilal Coulibaly,WAS,1,1,0,30.0,5.0,2.0,40.0,8.0,62.5,1.0,71.4,6.1
CJ McCollum,NOP,1,1,0,35.1,5.0,1.0,20.0,7.0,71.4,1.0,83.3,8.6
Danilo Gallinari,WAS,1,1,0,10.1,5.0,0.0,0.0,6.0,83.3,0.0,83.3,7.6
David Roddy,MEM,1,0,1,28.0,5.0,3.0,60.0,10.0,50.0,0.0,50.0,8.0
Franz Wagner,ORL,1,0,1,34.3,5.0,1.0,20.0,10.0,50.0,0.0,50.0,9.5
Jarred Vanderbilt,LAL,1,0,1,12.9,5.0,2.0,40.0,9.0,55.6,0.0,55.6,4.1
Kyle Kuzma,WAS,1,1,0,29.6,5.0,2.0,40.0,10.0,50.0,1.0,55.6,2.7
Pascal Siakam,TOR,1,0,1,34.1,5.0,0.0,0.0,11.0,45.5,0.0,45.5,4.4
Rui Hachimura,LAL,1,0,1,34.2,5.0,1.0,20.0,13.0,38.5,1.0,41.7,7.8
Derrick White,BOS,1,1,0,30.1,4.0,2.0,50.0,10.0,40.0,0.0,40.0,6.0
Jalen Green,HOU,1,1,0,28.2,4.0,2.0,50.0,6.0,66.7,0.0,66.7,9.3
Jalen Suggs,ORL,1,0,1,26.1,4.0,0.0,0.0,6.0,66.7,0.0,66.7,19.7
Jeff Green,HOU,1,1,0,18.8,4.0,1.0,25.0,6.0,66.7,1.0,80.0,5.1
Jonathan Isaac,ORL,1,0,1,15.8,4.0,3.0,75.0,6.0,66.7,1.0,80.0,2.3
Jordan Poole,WAS,1,1,0,32.2,4.0,0.0,0.0,6.0,66.7,1.0,80.0,8.9
Jrue Holiday,BOS,1,1,0,28.2,4.0,1.0,25.0,8.0,50.0,0.0,50.0,7.8
Malachi Flynn,TOR,1,0,1,19.0,4.0,2.0,50.0,7.0,57.1,1.0,66.7,4.7
Malaki Branham,SAS,1,1,0,32.7,4.0,0.0,0.0,9.0,44.4,1.0,50.0,8.0
Nassir Little,PHX,1,0,1,25.8,4.0,1.0,25.0,8.0,50.0,0.0,50.0,9.2
Paolo Banchero,ORL,1,0,1,32.1,4.0,1.0,25.0,8.0,50.0,3.0,80.0,6.2
Santi Aldama,MEM,1,0,1,26.5,4.0,0.0,0.0,9.0,44.4,0.0,44.4,9.9
Scottie Barnes,TOR,1,0,1,34.3,4.0,1.0,25.0,7.0,57.1,0.0,57.1,4.0
Ziaire Williams,MEM,1,0,1,14.7,4.0,0.0,0.0,5.0,80.0,0.0,80.0,9.5
Brandon Ingram,NOP,1,1,0,31.9,3.0,0.0,0.0,4.0,75.0,0.0,75.0,13.9
Chris Boucher,TOR,1,0,1,14.7,3.0,1.0,33.3,8.0,37.5,0.0,37.5,6.4
Drew Eubanks,PHX,1,0,1,15.2,3.0,3.0,100,5.0,60.0,0.0,60.0,3.5
Jaren Jackson Jr.,MEM,1,0,1,32.7,3.0,1.0,33.3,9.0,33.3,1.0,37.5,3.2
Jaylen Brown,BOS,1,1,0,29.6,3.0,0.0,0.0,8.0,37.5,2.0,50.0,6.2
Jordan Goodwin,PHX,1,0,1,23.4,3.0,0.0,0.0,7.0,42.9,0.0,42.9,14.2
Keita Bates-Diop,PHX,1,0,1,13.7,3.0,1.0,33.3,8.0,37.5,0.0,37.5,6.4
Kevin Durant,PHX,1,0,1,35.7,3.0,1.0,33.3,5.0,60.0,0.0,60.0,5.9
Lamar Stevens,BOS,1,1,0,14.1,3.0,1.0,33.3,7.0,42.9,0.0,42.9,6.0
Neemias Queta,BOS,1,1,0,18.3,3.0,2.0,66.7,8.0,37.5,0.0,37.5,6.0
Payton Pritchard,BOS,1,1,0,28.3,3.0,0.0,0.0,5.0,60.0,0.0,60.0,13.8
Taurean Prince,LAL,1,0,1,36.0,3.0,0.0,0.0,8.0,37.5,4.0,75.0,5.1
Aaron Holiday,HOU,1,1,0,19.5,2.0,0.0,0.0,3.0,66.7,1.0,100,17.1
Admiral Schofield,ORL,1,0,1,3.4,2.0,0.0,0.0,2.0,100,0.0,100,5.6
Caleb Houstan,ORL,1,0,1,10.8,2.0,0.0,0.0,2.0,100,0.0,100,2.9
Cedi Osman,SAS,1,1,0,24.9,2.0,0.0,0.0,5.0,40.0,0.0,40.0,8.4
Dennis Schroder,TOR,1,0,1,31.2,2.0,1.0,50.0,3.0,66.7,0.0,66.7,13.4
Devin Booker,PHX,1,0,1,36.6,2.0,1.0,50.0,4.0,50.0,0.0,50.0,8.1
Gary Trent Jr.,TOR,1,0,1,20.5,2.0,0.0,0.0,3.0,66.7,0.0,66.7,10.7
Grayson Allen,PHX,1,0,1,35.6,2.0,1.0,50.0,2.0,100,0.0,100,27.3
Herbert Jones,NOP,1,1,0,27.8,2.0,1.0,50.0,5.0,40.0,0.0,40.0,5.7
Joe Ingles,ORL,1,0,1,6.2,2.0,1.0,50.0,3.0,66.7,0.0,66.7,7.3
Keldon Johnson,SAS,1,1,0,30.7,2.0,0.0,0.0,5.0,40.0,1.0,50.0,6.5
OG Anunoby,TOR,1,0,1,32.7,2.0,1.0,50.0,6.0,33.3,0.0,33.3,8.0
Precious Achiuwa,TOR,1,0,1,17.3,2.0,0.0,0.0,5.0,40.0,1.0,50.0,7.4
Chimezie Metu,PHX,1,0,1,10.0,1.0,0.0,0.0,2.0,50.0,0.0,50.0,2.6
Colin Castleton,LAL,1,0,1,5.5,1.0,1.0,100,1.0,100,0.0,100,4.5
Corey Kispert,WAS,1,1,0,28.5,1.0,0.0,0.0,8.0,12.5,2.0,16.7,1.9
Derrick Rose,MEM,1,0,1,8.7,1.0,0.0,0.0,5.0,20.0,2.0,33.3,13.4
Devonte' Graham,SAS,1,1,0,9.7,1.0,0.0,0.0,2.0,50.0,0.0,50.0,10.1
Doug McDermott,SAS,1,1,0,17.4,1.0,0.0,0.0,2.0,50.0,0.0,50.0,15.8
Jacob Gilyard,MEM,1,0,1,15.9,1.0,0.0,0.0,3.0,33.3,1.0,50.0,12.2
Jett Howard,ORL,1,0,1,3.4,1.0,0.0,0.0,1.0,100,0.0,100,3.7
Jock Landale,HOU,1,1,0,8.3,1.0,1.0,100,5.0,20.0,3.0,50.0,1.9
Moritz Wagner,ORL,1,0,1,13.4,1.0,1.0,100,3.0,33.3,0.0,33.3,2.5
Naji Marshall,NOP,1,1,0,12.6,1.0,0.0,0.0,4.0,25.0,0.0,25.0,4.3
Oshae Brissett,BOS,1,1,0,15.6,1.0,1.0,100,3.0,33.3,0.0,33.3,5.0
Patrick Baldwin Jr.,WAS,1,1,0,3.0,1.0,1.0,100,1.0,100,0.0,100,3.0
